counting_method,target_dilution_fraction,measured_dilution_fraction,random_sample_number,rep_obsv,cell_conc,raw_count,percent_viable_cells,time_elapsed,cell_type,concentration_type,stock_solution,starting_soln_conc,stock_extraction,replicate_sample,analyst
Method 1,0.1,0.0976,15,1,255000,NA,83.1,218,Jurkat,total_cell_conc,1,2276667,1,1,2
Method 1,0.1,0.0976,15,2,268000,NA,76.9,221,Jurkat,total_cell_conc,1,2276667,1,1,2
Method 1,0.1,0.0976,15,3,265000,NA,81.5,224,Jurkat,total_cell_conc,1,2276667,1,1,2
Method 1,0.1,0.0989,17,1,271000,NA,81.9,236,Jurkat,total_cell_conc,1,2276667,2,2,2
Method 1,0.1,0.0989,17,2,303000,NA,81.2,239,Jurkat,total_cell_conc,1,2276667,2,2,2
Method 1,0.1,0.0989,17,3,290000,NA,76.2,272,Jurkat,total_cell_conc,1,2276667,2,2,2
Method 1,0.1,0.0955,12,1,269000,NA,82.2,191,Jurkat,total_cell_conc,1,2276667,3,3,2
Method 1,0.1,0.0955,12,2,278000,NA,76.3,194,Jurkat,total_cell_conc,1,2276667,3,3,2
Method 1,0.1,0.0955,12,3,274000,NA,78.8,197,Jurkat,total_cell_conc,1,2276667,3,3,2
Method 1,0.1,0.0995,13,1,325000,NA,76.6,200,Jurkat,total_cell_conc,1,2276667,4,4,2
Method 1,0.1,0.0995,13,2,326000,NA,81.3,203,Jurkat,total_cell_conc,1,2276667,4,4,2
Method 1,0.1,0.0995,13,3,283000,NA,79.5,206,Jurkat,total_cell_conc,1,2276667,4,4,2
Method 1,0.3,0.2969,2,1,824000,NA,76.9,102,Jurkat,total_cell_conc,1,2276667,5,1,2
Method 1,0.3,0.2969,2,2,848000,NA,72.8,105,Jurkat,total_cell_conc,1,2276667,5,1,2
Method 1,0.3,0.2969,2,3,789000,NA,75.0,108,Jurkat,total_cell_conc,1,2276667,5,1,2
Method 1,0.3,0.2969,18,1,899000,NA,77.8,245,Jurkat,total_cell_conc,1,2276667,6,2,2
Method 1,0.3,0.2969,18,2,878000,NA,80.3,248,Jurkat,total_cell_conc,1,2276667,6,2,2
Method 1,0.3,0.2969,18,3,820000,NA,76.0,251,Jurkat,total_cell_conc,1,2276667,6,2,2
Method 1,0.3,0.2976,1,1,904000,NA,72.7,93,Jurkat,total_cell_conc,1,2276667,7,3,2
Method 1,0.3,0.2976,1,2,812000,NA,75.5,96,Jurkat,total_cell_conc,1,2276667,7,3,2
Method 1,0.3,0.2976,1,3,786000,NA,73.8,99,Jurkat,total_cell_conc,1,2276667,7,3,2
Method 1,0.3,0.3015,19,1,811000,NA,78.3,254,Jurkat,total_cell_conc,1,2276667,8,4,2
Method 1,0.3,0.3015,19,2,847000,NA,75.7,257,Jurkat,total_cell_conc,1,2276667,8,4,2
Method 1,0.3,0.3015,19,3,826000,NA,79.3,260,Jurkat,total_cell_conc,1,2276667,8,4,2
Method 1,0.5,0.4996,7,1,1360000,NA,75.7,147,Jurkat,total_cell_conc,1,2276667,9,1,2
Method 1,0.5,0.4996,7,2,1420000,NA,77.5,150,Jurkat,total_cell_conc,1,2276667,9,1,2
Method 1,0.5,0.4996,7,3,1400000,NA,75.7,153,Jurkat,total_cell_conc,1,2276667,9,1,2
Method 1,0.5,0.5004,4,1,1400000,NA,76.4,120,Jurkat,total_cell_conc,1,2276667,10,2,2
Method 1,0.5,0.5004,4,2,1320000,NA,75.1,123,Jurkat,total_cell_conc,1,2276667,10,2,2
Method 1,0.5,0.5004,4,3,1410000,NA,74.5,126,Jurkat,total_cell_conc,1,2276667,10,2,2
Method 1,0.5,0.4983,3,1,1340000,NA,72.6,111,Jurkat,total_cell_conc,1,2276667,11,3,2
Method 1,0.5,0.4983,3,2,1320000,NA,73.8,114,Jurkat,total_cell_conc,1,2276667,11,3,2
Method 1,0.5,0.4983,3,3,1360000,NA,74.3,117,Jurkat,total_cell_conc,1,2276667,11,3,2
Method 1,0.5,0.5007,5,1,1310000,NA,74.7,129,Jurkat,total_cell_conc,1,2276667,12,4,2
Method 1,0.5,0.5007,5,2,1330000,NA,75.9,132,Jurkat,total_cell_conc,1,2276667,12,4,2
Method 1,0.5,0.5007,5,3,1340000,NA,74.6,135,Jurkat,total_cell_conc,1,2276667,12,4,2
Method 1,0.7,0.7003,10,1,1930000,NA,76.2,174,Jurkat,total_cell_conc,1,2276667,13,1,2
Method 1,0.7,0.7003,10,2,1930000,NA,72.5,177,Jurkat,total_cell_conc,1,2276667,13,1,2
Method 1,0.7,0.7003,10,3,1830000,NA,76.0,180,Jurkat,total_cell_conc,1,2276667,13,1,2
Method 1,0.7,0.7006,6,1,1880000,NA,72.9,138,Jurkat,total_cell_conc,1,2276667,14,2,2
Method 1,0.7,0.7006,6,2,1860000,NA,73.1,141,Jurkat,total_cell_conc,1,2276667,14,2,2
Method 1,0.7,0.7006,6,3,1870000,NA,72.7,144,Jurkat,total_cell_conc,1,2276667,14,2,2
Method 1,0.7,0.6995,11,1,1860000,NA,76.3,183,Jurkat,total_cell_conc,1,2276667,15,3,2
Method 1,0.7,0.6995,11,2,1870000,NA,74.9,186,Jurkat,total_cell_conc,1,2276667,15,3,2
Method 1,0.7,0.6995,11,3,1890000,NA,74.6,188,Jurkat,total_cell_conc,1,2276667,15,3,2
Method 1,0.7,0.7011,9,1,1860000,NA,75.3,165,Jurkat,total_cell_conc,1,2276667,16,4,2
