counting_method,target_dilution_fraction,measured_dilution_fraction,random_sample_number,rep_obsv,cell_conc,raw_count,percent_viable_cells,time_elapsed,cell_type,concentration_type,stock_solution,starting_soln_conc,stock_extraction,replicate_sample,analyst
Method 5,0.1,NA,1,1,233674,NA,NA,5,Simulated Cell Type,Total Cell Concentration,1,2500000,1,1,1
Method 5,0.1,NA,1,2,260804,NA,NA,5,Simulated Cell Type,Total Cell Concentration,1,2500000,1,1,1
Method 5,0.1,NA,1,3,275494,NA,NA,5,Simulated Cell Type,Total Cell Concentration,1,2500000,1,1,1
Method 5,0.1,NA,2,1,216550,NA,NA,10,Simulated Cell Type,Total Cell Concentration,1,2500000,2,2,1
Method 5,0.1,NA,2,2,320646,NA,NA,10,Simulated Cell Type,Total Cell Concentration,1,2500000,2,2,1
Method 5,0.1,NA,2,3,198884,NA,NA,10,Simulated Cell Type,Total Cell Concentration,1,2500000,2,2,1
Method 5,0.1,NA,3,1,110254,NA,NA,15,Simulated Cell Type,Total Cell Concentration,1,2500000,3,3,1
Method 5,0.1,NA,3,2,371547,NA,NA,15,Simulated Cell Type,Total Cell Concentration,1,2500000,3,3,1
Method 5,0.1,NA,3,3,212630,NA,NA,15,Simulated Cell Type,Total Cell Concentration,1,2500000,3,3,1
Method 5,0.3,NA,4,1,764341,NA,NA,20,Simulated Cell Type,Total Cell Concentration,1,2500000,4,1,1
Method 5,0.3,NA,4,2,866113,NA,NA,20,Simulated Cell Type,Total Cell Concentration,1,2500000,4,1,1
Method 5,0.3,NA,4,3,663730,NA,NA,20,Simulated Cell Type,Total Cell Concentration,1,2500000,4,1,1
Method 5,0.3,NA,5,1,736422,NA,NA,25,Simulated Cell Type,Total Cell Concentration,1,2500000,5,2,1
Method 5,0.3,NA,5,2,920657,NA,NA,25,Simulated Cell Type,Total Cell Concentration,1,2500000,5,2,1
Method 5,0.3,NA,5,3,756572,NA,NA,25,Simulated Cell Type,Total Cell Concentration,1,2500000,5,2,1
Method 5,0.3,NA,6,1,822596,NA,NA,30,Simulated Cell Type,Total Cell Concentration,1,2500000,6,3,1
Method 5,0.3,NA,6,2,827883,NA,NA,30,Simulated Cell Type,Total Cell Concentration,1,2500000,6,3,1
Method 5,0.3,NA,6,3,880864,NA,NA,30,Simulated Cell Type,Total Cell Concentration,1,2500000,6,3,1
Method 5,0.5,NA,7,1,1344840,NA,NA,35,Simulated Cell Type,Total Cell Concentration,1,2500000,7,1,1
Method 5,0.5,NA,7,2,1083644,NA,NA,35,Simulated Cell Type,Total Cell Concentration,1,2500000,7,1,1
Method 5,0.5,NA,7,3,1243898,NA,NA,35,Simulated Cell Type,Total Cell Concentration,1,2500000,7,1,1
Method 5,0.5,NA,8,1,1410966,NA,NA,40,Simulated Cell Type,Total Cell Concentration,1,2500000,8,2,1
Method 5,0.5,NA,8,2,947472,NA,NA,40,Simulated Cell Type,Total Cell Concentration,1,2500000,8,2,1
Method 5,0.5,NA,8,3,1351374,NA,NA,40,Simulated Cell Type,Total Cell Concentration,1,2500000,8,2,1
Method 5,0.5,NA,9,1,1318099,NA,NA,45,Simulated Cell Type,Total Cell Concentration,1,2500000,9,3,1
Method 5,0.5,NA,9,2,987013,NA,NA,45,Simulated Cell Type,Total Cell Concentration,1,2500000,9,3,1
Method 5,0.5,NA,9,3,1143957,NA,NA,45,Simulated Cell Type,Total Cell Concentration,1,2500000,9,3,1
Method 5,0.7,NA,10,1,1857736,NA,NA,50,Simulated Cell Type,Total Cell Concentration,1,2500000,10,1,1
Method 5,0.7,NA,10,2,1704509,NA,NA,50,Simulated Cell Type,Total Cell Concentration,1,2500000,10,1,1
Method 5,0.7,NA,10,3,1709354,NA,NA,50,Simulated Cell Type,Total Cell Concentration,1,2500000,10,1,1
Method 5,0.7,NA,11,1,1718006,NA,NA,55,Simulated Cell Type,Total Cell Concentration,1,2500000,11,2,1
Method 5,0.7,NA,11,2,2014980,NA,NA,55,Simulated Cell Type,Total Cell Concentration,1,2500000,11,2,1
Method 5,0.7,NA,11,3,1616283,NA,NA,55,Simulated Cell Type,Total Cell Concentration,1,2500000,11,2,1
Method 5,0.7,NA,12,1,1918996,NA,NA,60,Simulated Cell Type,Total Cell Concentration,1,2500000,12,3,1
Method 5,0.7,NA,12,2,1568403,NA,NA,60,Simulated Cell Type,Total Cell Concentration,1,2500000,12,3,1
Method 5,0.7,NA,12,3,1813979,NA,NA,60,Simulated Cell Type,Total Cell Concentration,1,2500000,12,3,1
Method 5,0.9,NA,13,1,2434779,NA,NA,65,Simulated Cell Type,Total Cell Concentration,1,2500000,13,1,1
Method 5,0.9,NA,13,2,2153951,NA,NA,65,Simulated Cell Type,Total Cell Concentration,1,2500000,13,1,1
Method 5,0.9,NA,13,3,2147163,NA,NA,65,Simulated Cell Type,Total Cell Concentration,1,2500000,13,1,1
Method 5,0.9,NA,14,1,2089265,NA,NA,70,Simulated Cell Type,Total Cell Concentration,1,2500000,14,2,1
Method 5,0.9,NA,14,2,2549131,NA,NA,70,Simulated Cell Type,Total Cell Concentration,1,2500000,14,2,1
Method 5,0.9,NA,14,3,2196090,NA,NA,70,Simulated Cell Type,Total Cell Concentration,1,2500000,14,2,1
Method 5,0.9,NA,15,1,2015408,NA,NA,75,Simulated Cell Type,Total Cell Concentration,1,2500000,15,3,1
Method 5,0.9,NA,15,2,2086137,NA,NA,75,Simulated Cell Type,Total Cell Concentration,1,2500000,15,3,1
Method 5,0.9,NA,15,3,2209278,NA,NA,75,Simulated Cell Type,Total Cell Concentration,1,2500000,15,3,1
Method 6,0.1,NA,1,1,89447,NA,NA,80,Simulated Cell Type,Total Cell Concentration,1,2500000,1,1,1
Method 6,0.1,NA,1,2,221117,NA,NA,80,Simulated Cell Type,Total Cell Concentration,1,2500000,1,1,1
Method 6,0.1,NA,1,3,366228,NA,NA,80,Simulated Cell Type,Total Cell Concentration,1,2500000,1,1,1
Method 6,0.1,NA,2,1,370265,NA,NA,85,Simulated Cell Type,Total Cell Concentration,1,2500000,2,2,1
Method 6,0.1,NA,2,2,386545,NA,NA,85,Simulated Cell Type,Total Cell Concentration,1,2500000,2,2,1
Method 6,0.1,NA,2,3,107203,NA,NA,85,Simulated Cell Type,Total Cell Concentration,1,2500000,2,2,1
Method 6,0.1,NA,3,1,162675,NA,NA,90,Simulated Cell Type,Total Cell Concentration,1,2500000,3,3,1
Method 6,0.1,NA,3,2,256147,NA,NA,90,Simulated Cell Type,Total Cell Concentration,1,2500000,3,3,1
Method 6,0.1,NA,3,3,314403,NA,NA,90,Simulated Cell Type,Total Cell Concentration,1,2500000,3,3,1
Method 6,0.3,NA,4,1,855658,NA,NA,95,Simulated Cell Type,Total Cell Concentration,1,2500000,4,1,1
Method 6,0.3,NA,4,2,783607,NA,NA,95,Simulated Cell Type,Total Cell Concentration,1,2500000,4,1,1
Method 6,0.3,NA,4,3,950502,NA,NA,95,Simulated Cell Type,Total Cell Concentration,1,2500000,4,1,1
Method 6,0.3,NA,5,1,582685,NA,NA,100,Simulated Cell Type,Total Cell Concentration,1,2500000,5,2,1
Method 6,0.3,NA,5,2,629697,NA,NA,100,Simulated Cell Type,Total Cell Concentration,1,2500000,5,2,1
Method 6,0.3,NA,5,3,999939,NA,NA,100,Simulated Cell Type,Total Cell Concentration,1,2500000,5,2,1
Method 6,0.3,NA,6,1,649818,NA,NA,105,Simulated Cell Type,Total Cell Concentration,1,2500000,6,3,1
Method 6,0.3,NA,6,2,845472,NA,NA,105,Simulated Cell Type,Total Cell Concentration,1,2500000,6,3,1
Method 6,0.3,NA,6,3,818724,NA,NA,105,Simulated Cell Type,Total Cell Concentration,1,2500000,6,3,1
Method 6,0.5,NA,7,1,585626,NA,NA,110,Simulated Cell Type,Total Cell Concentration,1,2500000,7,1,1
Method 6,0.5,NA,7,2,694053,NA,NA,110,Simulated Cell Type,Total Cell Concentration,1,2500000,7,1,1
Method 6,0.5,NA,7,3,1114392,NA,NA,110,Simulated Cell Type,Total Cell Concentration,1,2500000,7,1,1
Method 6,0.5,NA,8,1,1124086,NA,NA,115,Simulated Cell Type,Total Cell Concentration,1,2500000,8,2,1
Method 6,0.5,NA,8,2,1508114,NA,NA,115,Simulated Cell Type,Total Cell Concentration,1,2500000,8,2,1
Method 6,0.5,NA,8,3,1052379,NA,NA,115,Simulated Cell Type,Total Cell Concentration,1,2500000,8,2,1
Method 6,0.5,NA,9,1,839412,NA,NA,120,Simulated Cell Type,Total Cell Concentration,1,2500000,9,3,1
Method 6,0.5,NA,9,2,1216056,NA,NA,120,Simulated Cell Type,Total Cell Concentration,1,2500000,9,3,1
Method 6,0.5,NA,9,3,1168241,NA,NA,120,Simulated Cell Type,Total Cell Concentration,1,2500000,9,3,1
Method 6,0.7,NA,10,1,1626966,NA,NA,125,Simulated Cell Type,Total Cell Concentration,1,2500000,10,1,1
Method 6,0.7,NA,10,2,1969481,NA,NA,125,Simulated Cell Type,Total Cell Concentration,1,2500000,10,1,1
Method 6,0.7,NA,10,3,1705972,NA,NA,125,Simulated Cell Type,Total Cell Concentration,1,2500000,10,1,1
Method 6,0.7,NA,11,1,1691308,NA,NA,130,Simulated Cell Type,Total Cell Concentration,1,2500000,11,2,1
Method 6,0.7,NA,11,2,1507831,NA,NA,130,Simulated Cell Type,Total Cell Concentration,1,2500000,11,2,1
Method 6,0.7,NA,11,3,1042054,NA,NA,130,Simulated Cell Type,Total Cell Concentration,1,2500000,11,2,1
Method 6,0.7,NA,12,1,1614937,NA,NA,135,Simulated Cell Type,Total Cell Concentration,1,2500000,12,3,1
Method 6,0.7,NA,12,2,2542938,NA,NA,135,Simulated Cell Type,Total Cell Concentration,1,2500000,12,3,1
Method 6,0.7,NA,12,3,2098295,NA,NA,135,Simulated Cell Type,Total Cell Concentration,1,2500000,12,3,1
Method 6,0.9,NA,13,1,2306630,NA,NA,140,Simulated Cell Type,Total Cell Concentration,1,2500000,13,1,1
Method 6,0.9,NA,13,2,1977131,NA,NA,140,Simulated Cell Type,Total Cell Concentration,1,2500000,13,1,1
Method 6,0.9,NA,13,3,2438664,NA,NA,140,Simulated Cell Type,Total Cell Concentration,1,2500000,13,1,1
Method 6,0.9,NA,14,1,2220755,NA,NA,145,Simulated Cell Type,Total Cell Concentration,1,2500000,14,2,1
Method 6,0.9,NA,14,2,2176923,NA,NA,145,Simulated Cell Type,Total Cell Concentration,1,2500000,14,2,1
Method 6,0.9,NA,14,3,2292139,NA,NA,145,Simulated Cell Type,Total Cell Concentration,1,2500000,14,2,1
Method 6,0.9,NA,15,1,2333727,NA,NA,150,Simulated Cell Type,Total Cell Concentration,1,2500000,15,3,1
Method 6,0.9,NA,15,2,1958046,NA,NA,150,Simulated Cell Type,Total Cell Concentration,1,2500000,15,3,1
Method 6,0.9,NA,15,3,2144404,NA,NA,150,Simulated Cell Type,Total Cell Concentration,1,2500000,15,3,1
Method 7,0.1,NA,1,1,385814,NA,NA,155,Simulated Cell Type,Total Cell Concentration,1,2500000,1,1,1
Method 7,0.1,NA,1,2,404937,NA,NA,155,Simulated Cell Type,Total Cell Concentration,1,2500000,1,1,1
Method 7,0.1,NA,1,3,355572,NA,NA,155,Simulated Cell Type,Total Cell Concentration,1,2500000,1,1,1
Method 7,0.1,NA,2,1,322019,NA,NA,160,Simulated Cell Type,Total Cell Concentration,1,2500000,2,2,1
Method 7,0.1,NA,2,2,400541,NA,NA,160,Simulated Cell Type,Total Cell Concentration,1,2500000,2,2,1
Method 7,0.1,NA,2,3,358466,NA,NA,160,Simulated Cell Type,Total Cell Concentration,1,2500000,2,2,1
Method 7,0.1,NA,3,1,186419,NA,NA,165,Simulated Cell Type,Total Cell Concentration,1,2500000,3,3,1
Method 7,0.1,NA,3,2,230955,NA,NA,165,Simulated Cell Type,Total Cell Concentration,1,2500000,3,3,1
Method 7,0.1,NA,3,3,247744,NA,NA,165,Simulated Cell Type,Total Cell Concentration,1,2500000,3,3,1
Method 7,0.3,NA,4,1,809646,NA,NA,170,Simulated Cell Type,Total Cell Concentration,1,2500000,4,1,1
Method 7,0.3,NA,4,2,707527,NA,NA,170,Simulated Cell Type,Total Cell Concentration,1,2500000,4,1,1
Method 7,0.3,NA,4,3,970588,NA,NA,170,Simulated Cell Type,Total Cell Concentration,1,2500000,4,1,1
Method 7,0.3,NA,5,1,1070180,NA,NA,175,Simulated Cell Type,Total Cell Concentration,1,2500000,5,2,1
Method 7,0.3,NA,5,2,1044474,NA,NA,175,Simulated Cell Type,Total Cell Concentration,1,2500000,5,2,1
Method 7,0.3,NA,5,3,956023,NA,NA,175,Simulated Cell Type,Total Cell Concentration,1,2500000,5,2,1
Method 7,0.3,NA,6,1,777244,NA,NA,180,Simulated Cell Type,Total Cell Concentration,1,2500000,6,3,1
Method 7,0.3,NA,6,2,919098,NA,NA,180,Simulated Cell Type,Total Cell Concentration,1,2500000,6,3,1
Method 7,0.3,NA,6,3,795151,NA,NA,180,Simulated Cell Type,Total Cell Concentration,1,2500000,6,3,1
